id|nct_id|ctgov_group_code|event_type|classification|subjects_affected|subjects_at_risk|created_at|updated_at
227395385|NCT03574597|EG000|deaths|Total, all-cause mortality|371|8803|2026-08-29 18:47:31.666943|2026-08-29 18:47:31.666943
227395386|NCT03574597|EG001|deaths|Total, all-cause mortality|460|8801|2026-08-29 18:47:31.666943|2026-08-29 18:47:31.666943
227395596|NCT03574597|EG000|other|Total, other adverse events|3944|8803|2026-08-29 18:47:31.742787|2026-08-29 18:47:31.742787
227395597|NCT03574597|EG001|other|Total, other adverse events|2440|8801|2026-08-29 18:47:31.742787|2026-08-29 18:47:31.742787
227395807|NCT03574597|EG000|serious|Total, serious adverse events|2941|8803|2026-08-29 18:47:31.819477|2026-08-29 18:47:31.819477
227395808|NCT03574597|EG001|serious|Total, serious adverse events|3204|8801|2026-08-29 18:47:31.819477|2026-08-29 18:47:31.819477
227044517|NCT02065791|EG000|deaths|Total, all-cause mortality|193|2197|2026-08-28 20:01:03.234934|2026-08-28 20:01:03.234934
227044518|NCT02065791|EG001|deaths|Total, all-cause mortality|164|2200|2026-08-28 20:01:03.234934|2026-08-28 20:01:03.234934
227044668|NCT02065791|EG000|other|Total, other adverse events|1447|2197|2026-08-28 20:01:03.311466|2026-08-28 20:01:03.311466
227044669|NCT02065791|EG001|other|Total, other adverse events|1320|2200|2026-08-28 20:01:03.311466|2026-08-28 20:01:03.311466
227044819|NCT02065791|EG000|serious|Total, serious adverse events|806|2197|2026-08-28 20:01:04.624236|2026-08-28 20:01:04.624236
227044820|NCT02065791|EG001|serious|Total, serious adverse events|737|2200|2026-08-28 20:01:04.624236|2026-08-28 20:01:04.624236
227051844|NCT02345486|EG000|deaths|Total, all-cause mortality|68|454|2026-08-28 20:32:16.694528|2026-08-28 20:32:16.694528
227051845|NCT02345486|EG001|deaths|Total, all-cause mortality|72|520|2026-08-28 20:32:16.694528|2026-08-28 20:32:16.694528
227052043|NCT02345486|EG000|other|Total, other adverse events|0|454|2026-08-28 20:32:16.780094|2026-08-28 20:32:16.780094
227052044|NCT02345486|EG001|other|Total, other adverse events|0|520|2026-08-28 20:32:16.780094|2026-08-28 20:32:16.780094
227052242|NCT02345486|EG000|serious|Total, serious adverse events|0|454|2026-08-28 20:32:16.863623|2026-08-28 20:32:16.863623
227052243|NCT02345486|EG001|serious|Total, serious adverse events|0|520|2026-08-28 20:32:16.863623|2026-08-28 20:32:16.863623
227066665|NCT01492361|EG000|deaths|Total, all-cause mortality|274|4089|2026-08-28 21:29:07.913874|2026-08-28 21:29:07.913874
227066666|NCT01492361|EG001|deaths|Total, all-cause mortality|310|4090|2026-08-28 21:29:07.913874|2026-08-28 21:29:07.913874
227066895|NCT01492361|EG000|other|Total, other adverse events|3268|4089|2026-08-28 21:29:07.989236|2026-08-28 21:29:07.989236
227066896|NCT01492361|EG001|other|Total, other adverse events|3248|4090|2026-08-28 21:29:07.989236|2026-08-28 21:29:07.989236
227067125|NCT01492361|EG000|serious|Total, serious adverse events|1252|4089|2026-08-28 21:29:08.067079|2026-08-28 21:29:08.067079
227067126|NCT01492361|EG001|serious|Total, serious adverse events|1254|4090|2026-08-28 21:29:08.067079|2026-08-28 21:29:08.067079
227436682|NCT00232180|EG000|deaths|Total, all-cause mortality|||2026-08-29 21:13:05.850588|2026-08-29 21:13:05.850588
227436683|NCT00232180|EG001|deaths|Total, all-cause mortality|||2026-08-29 21:13:05.850588|2026-08-29 21:13:05.850588
227436684|NCT00232180|EG002|deaths|Total, all-cause mortality|||2026-08-29 21:13:05.850588|2026-08-29 21:13:05.850588
227436685|NCT00232180|EG003|deaths|Total, all-cause mortality|||2026-08-29 21:13:05.850588|2026-08-29 21:13:05.850588
227436686|NCT00232180|EG004|deaths|Total, all-cause mortality|||2026-08-29 21:13:05.850588|2026-08-29 21:13:05.850588
227436850|NCT00232180|EG000|other|Total, other adverse events|547|1360|2026-08-29 21:13:05.955535|2026-08-29 21:13:05.955535
227436851|NCT00232180|EG001|other|Total, other adverse events|540|1369|2026-08-29 21:13:05.955535|2026-08-29 21:13:05.955535
227436852|NCT00232180|EG002|other|Total, other adverse events|640|1364|2026-08-29 21:13:05.955535|2026-08-29 21:13:05.955535
227436853|NCT00232180|EG003|other|Total, other adverse events|617|1372|2026-08-29 21:13:05.955535|2026-08-29 21:13:05.955535
227436854|NCT00232180|EG004|other|Total, other adverse events|329|1245|2026-08-29 21:13:05.955535|2026-08-29 21:13:05.955535
227437018|NCT00232180|EG000|serious|Total, serious adverse events|509|1360|2026-08-29 21:13:06.07402|2026-08-29 21:13:06.07402
227437019|NCT00232180|EG001|serious|Total, serious adverse events|614|1369|2026-08-29 21:13:06.07402|2026-08-29 21:13:06.07402
227437020|NCT00232180|EG002|serious|Total, serious adverse events|586|1364|2026-08-29 21:13:06.07402|2026-08-29 21:13:06.07402
227437021|NCT00232180|EG003|serious|Total, serious adverse events|686|1372|2026-08-29 21:13:06.07402|2026-08-29 21:13:06.07402
227437022|NCT00232180|EG004|serious|Total, serious adverse events|251|1245|2026-08-29 21:13:06.07402|2026-08-29 21:13:06.07402
227162861|NCT03611582|EG000|deaths|Total, all-cause mortality|0|407|2026-08-29 03:26:03.101264|2026-08-29 03:26:03.101264
227162862|NCT03611582|EG001|deaths|Total, all-cause mortality|0|204|2026-08-29 03:26:03.101264|2026-08-29 03:26:03.101264
227163065|NCT03611582|EG000|other|Total, other adverse events|379|407|2026-08-29 03:26:03.189406|2026-08-29 03:26:03.189406
227163066|NCT03611582|EG001|other|Total, other adverse events|177|204|2026-08-29 03:26:03.189406|2026-08-29 03:26:03.189406
227163269|NCT03611582|EG000|serious|Total, serious adverse events|37|407|2026-08-29 03:26:03.242146|2026-08-29 03:26:03.242146
227163270|NCT03611582|EG001|serious|Total, serious adverse events|6|204|2026-08-29 03:26:03.242146|2026-08-29 03:26:03.242146
227170138|NCT00397189|EG000|deaths|Total, all-cause mortality|||2026-08-29 03:52:07.431523|2026-08-29 03:52:07.431523
227170139|NCT00397189|EG001|deaths|Total, all-cause mortality|||2026-08-29 03:52:07.431523|2026-08-29 03:52:07.431523
