id|nct_id|ctgov_group_code|result_type|title|description|outcome_id
838553299|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646503
838553300|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646503
838553301|NCT00135226|OG002|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646503
838553302|NCT00135226|OG003|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646503
838553303|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646504
838553304|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646504
838553305|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646505
838553306|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646505
838553307|NCT00135226|OG002|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646505
838553308|NCT00135226|OG003|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646505
838553309|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646506
838553310|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646506
838553311|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646507
838553312|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646507
838553313|NCT00135226|OG002|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646507
838553314|NCT00135226|OG003|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646507
838553315|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646508
838553316|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646508
838553317|NCT00135226|OG002|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646508
838553318|NCT00135226|OG003|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646508
838553319|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646509
838553320|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646509
838553321|NCT00135226|OG002|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646509
838553322|NCT00135226|OG003|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646509
838553323|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646510
838553324|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646510
