Post-fix evidence for LANE V.

Base commit: a3872489.
Generated after rebuilding all 32 pages through scripts/build_topic.py.

Summary:
  pages=32 object_present=32 html_Search_provenance_pages=32

Rows:
  slug | class | registry_first_status | object_present | html_Search_provenance_count | honest_ratchet_marker_count
  balanced-crystalloids-vs-saline-mortality | TITLE_SEEDED_RETRIEVAL | RAN_OK | True | 1 | 2
  colchicine-postop-af | HAND_WRITTEN_KEYWORD_SEARCH | RAN_OK | True | 1 | 2
  colchicine-recurrent-pericarditis | HAND_WRITTEN_KEYWORD_SEARCH | RAN_OK | True | 1 | 2
  colchicine-secondary-cv-prevention | TITLE_SEEDED_RETRIEVAL | RAN_OK | True | 1 | 2
  corticosteroids-cap-mortality | HAND_WRITTEN_KEYWORD_SEARCH | NOT_RUN | True | 1 | 2
  corticosteroids-covid19-mortality | TITLE_SEEDED_RETRIEVAL | RAN_OK | True | 1 | 2
  dapagliflozin-hfpef-hosp | KNOWN_ITEM_RETRIEVAL | RAN_OK | True | 1 | 2
  denosumab-vertebral-fracture | TITLE_SEEDED_RETRIEVAL | RAN_OK | True | 1 | 2
  doac-vte-recurrence | KNOWN_ITEM_RETRIEVAL | RAN_ERROR | True | 1 | 2
  dpp4-mace-t2d | KNOWN_ITEM_RETRIEVAL | RAN_ERROR | True | 1 | 2
  empagliflozin-hfpef-hosp | KNOWN_ITEM_RETRIEVAL | RAN_OK | True | 1 | 2
  esketamine-trd-madrs | TITLE_SEEDED_RETRIEVAL | RAN_ERROR | True | 1 | 2
  finerenone-ckd-t2d-renal | TITLE_SEEDED_RETRIEVAL | RAN_OK | True | 1 | 2
  glp1-ra-mace-t2d | KNOWN_ITEM_RETRIEVAL | RAN_OK | True | 1 | 2
  iv-iron-hfref-hosp | TITLE_SEEDED_RETRIEVAL | NOT_RUN | True | 1 | 2
  melatonin-primary-insomnia-sol | TITLE_SEEDED_RETRIEVAL | RAN_ERROR | True | 1 | 2
  metformin-pcos-ovulation | TITLE_SEEDED_RETRIEVAL | NOT_RUN | True | 1 | 2
  noac-vs-warfarin-af-stroke | KNOWN_ITEM_RETRIEVAL | RAN_OK | True | 1 | 2
  omega3-cardiovascular-events | TITLE_SEEDED_RETRIEVAL | RAN_OK | True | 1 | 2
  pcsk9-mace | TITLE_SEEDED_RETRIEVAL | RAN_OK | True | 1 | 2
  probiotics-aad-prevention | HAND_WRITTEN_KEYWORD_SEARCH | RAN_OK | True | 1 | 2
  sacubitril-valsartan-hfref | TITLE_SEEDED_RETRIEVAL | NOT_RUN | True | 1 | 2
  semaglutide-obesity-mace | TITLE_SEEDED_RETRIEVAL | RAN_OK | True | 1 | 2
  semaglutide-obesity-weight | TITLE_SEEDED_RETRIEVAL | RAN_ERROR | True | 1 | 2
  sglt2-ckd-progression | KNOWN_ITEM_RETRIEVAL | RAN_OK | True | 1 | 2
  sglt2-hfref-hosp-cvdeath | KNOWN_ITEM_RETRIEVAL | RAN_OK | True | 1 | 2
  sglt2-primary-prevention-hf | KNOWN_ITEM_RETRIEVAL | RAN_ERROR | True | 1 | 2
  spironolactone-hfref-mortality | KNOWN_ITEM_RETRIEVAL | RAN_OK | True | 1 | 2
  statins-primary-prevention-elderly | TITLE_SEEDED_RETRIEVAL | RAN_OK | True | 1 | 2
  ticagrelor-vs-clopidogrel-acs | KNOWN_ITEM_RETRIEVAL | RAN_OK | True | 1 | 2
  tocilizumab-covid19-mortality | TITLE_SEEDED_RETRIEVAL | RAN_OK | True | 1 | 2
  tranexamic-acid-pph | TITLE_SEEDED_RETRIEVAL | RAN_OK | True | 1 | 2
