id|nct_id|ctgov_group_code|event_type|classification|subjects_affected|subjects_at_risk|created_at|updated_at
227036826|NCT00440193|EG000|deaths|Total, all-cause mortality|||2026-08-28 19:30:41.394944|2026-08-28 19:30:41.394944
227036827|NCT00440193|EG001|deaths|Total, all-cause mortality|||2026-08-28 19:30:41.394944|2026-08-28 19:30:41.394944
227036975|NCT00440193|EG000|other|Total, other adverse events|241|1718|2026-08-28 19:30:41.442708|2026-08-28 19:30:41.442708
227036976|NCT00440193|EG001|other|Total, other adverse events|212|1711|2026-08-28 19:30:41.442708|2026-08-28 19:30:41.442708
227037124|NCT00440193|EG000|serious|Total, serious adverse events|222|1718|2026-08-28 19:30:41.488118|2026-08-28 19:30:41.488118
227037125|NCT00440193|EG001|serious|Total, serious adverse events|252|1711|2026-08-28 19:30:41.488118|2026-08-28 19:30:41.488118
227050266|NCT00986154|EG000|deaths|Total, all-cause mortality|||2026-08-28 20:25:01.686454|2026-08-28 20:25:01.686454
227050267|NCT00986154|EG001|deaths|Total, all-cause mortality|||2026-08-28 20:25:01.686454|2026-08-28 20:25:01.686454
227050458|NCT00986154|EG000|other|Total, other adverse events|816|4118|2026-08-28 20:25:01.856959|2026-08-28 20:25:01.856959
227050459|NCT00986154|EG001|other|Total, other adverse events|997|4122|2026-08-28 20:25:01.856959|2026-08-28 20:25:01.856959
227050650|NCT00986154|EG000|serious|Total, serious adverse events|801|4118|2026-08-28 20:25:02.12287|2026-08-28 20:25:02.12287
227050651|NCT00986154|EG001|serious|Total, serious adverse events|852|4122|2026-08-28 20:25:02.12287|2026-08-28 20:25:02.12287
227414870|NCT04730947|EG000|deaths|Total, all-cause mortality|0|21|2026-08-29 19:49:34.606844|2026-08-29 19:49:34.606844
227414871|NCT04730947|EG001|deaths|Total, all-cause mortality|0|17|2026-08-29 19:49:34.606844|2026-08-29 19:49:34.606844
227415112|NCT04730947|EG000|other|Total, other adverse events|21|21|2026-08-29 19:49:34.7096|2026-08-29 19:49:34.7096
227415113|NCT04730947|EG001|other|Total, other adverse events|17|17|2026-08-29 19:49:34.7096|2026-08-29 19:49:34.7096
227415354|NCT04730947|EG000|serious|Total, serious adverse events|4|21|2026-08-29 19:49:34.793217|2026-08-29 19:49:34.793217
227415355|NCT04730947|EG001|serious|Total, serious adverse events|0|17|2026-08-29 19:49:34.793217|2026-08-29 19:49:34.793217
227051864|NCT00291330|EG000|deaths|Total, all-cause mortality|||2026-08-28 20:32:16.694528|2026-08-28 20:32:16.694528
227051865|NCT00291330|EG001|deaths|Total, all-cause mortality|||2026-08-28 20:32:16.694528|2026-08-28 20:32:16.694528
227052063|NCT00291330|EG000|other|Total, other adverse events|163|1273|2026-08-28 20:32:16.780094|2026-08-28 20:32:16.780094
227052064|NCT00291330|EG001|other|Total, other adverse events|209|1266|2026-08-28 20:32:16.780094|2026-08-28 20:32:16.780094
227052262|NCT00291330|EG000|serious|Total, serious adverse events|165|1273|2026-08-28 20:32:16.863623|2026-08-28 20:32:16.863623
227052263|NCT00291330|EG001|serious|Total, serious adverse events|150|1266|2026-08-28 20:32:16.863623|2026-08-28 20:32:16.863623
227170158|NCT00643201|EG000|deaths|Total, all-cause mortality|||2026-08-29 03:52:07.431523|2026-08-29 03:52:07.431523
227170159|NCT00643201|EG001|deaths|Total, all-cause mortality|||2026-08-29 03:52:07.431523|2026-08-29 03:52:07.431523
227170357|NCT00643201|EG000|other|Total, other adverse events|1014|2676|2026-08-29 03:52:07.501707|2026-08-29 03:52:07.501707
227170358|NCT00643201|EG001|other|Total, other adverse events|1207|2689|2026-08-29 03:52:07.501707|2026-08-29 03:52:07.501707
227170556|NCT00643201|EG000|serious|Total, serious adverse events|417|2676|2026-08-29 03:52:07.569409|2026-08-29 03:52:07.569409
227170557|NCT00643201|EG001|serious|Total, serious adverse events|410|2689|2026-08-29 03:52:07.569409|2026-08-29 03:52:07.569409
227098754|NCT00680186|EG000|deaths|Total, all-cause mortality|||2026-08-28 23:41:11.269913|2026-08-28 23:41:11.269913
227098755|NCT00680186|EG001|deaths|Total, all-cause mortality|||2026-08-28 23:41:11.269913|2026-08-28 23:41:11.269913
227098892|NCT00680186|EG000|other|Total, other adverse events|124|1280|2026-08-28 23:41:11.31851|2026-08-28 23:41:11.31851
227098893|NCT00680186|EG001|other|Total, other adverse events|126|1288|2026-08-28 23:41:11.31851|2026-08-28 23:41:11.31851
227099030|NCT00680186|EG000|serious|Total, serious adverse events|156|1280|2026-08-28 23:41:11.362151|2026-08-28 23:41:11.362151
227099031|NCT00680186|EG001|serious|Total, serious adverse events|153|1288|2026-08-28 23:41:11.362151|2026-08-28 23:41:11.362151
227530548|NCT03030235|EG000|deaths|Total, all-cause mortality|1|162|2026-08-30 03:24:43.715046|2026-08-30 03:24:43.715046
227530549|NCT03030235|EG001|deaths|Total, all-cause mortality|2|162|2026-08-30 03:24:43.715046|2026-08-30 03:24:43.715046
227530713|NCT03030235|EG000|other|Total, other adverse events|13|162|2026-08-30 03:24:43.766793|2026-08-30 03:24:43.766793
227530714|NCT03030235|EG001|other|Total, other adverse events|16|162|2026-08-30 03:24:43.766793|2026-08-30 03:24:43.766793
227530878|NCT03030235|EG000|serious|Total, serious adverse events|31|162|2026-08-30 03:24:43.815253|2026-08-30 03:24:43.815253
227530879|NCT03030235|EG001|serious|Total, serious adverse events|22|162|2026-08-30 03:24:43.815253|2026-08-30 03:24:43.815253
226940393|NCT01131676|EG000|deaths|Total, all-cause mortality|||2026-08-28 13:26:32.053136|2026-08-28 13:26:32.053136
226940394|NCT01131676|EG001|deaths|Total, all-cause mortality|||2026-08-28 13:26:32.053136|2026-08-28 13:26:32.053136
226940395|NCT01131676|EG002|deaths|Total, all-cause mortality|||2026-08-28 13:26:32.053136|2026-08-28 13:26:32.053136
226940536|NCT01131676|EG000|other|Total, other adverse events|1690|2333|2026-08-28 13:26:32.102478|2026-08-28 13:26:32.102478
226940537|NCT01131676|EG001|other|Total, other adverse events|1556|2345|2026-08-28 13:26:32.102478|2026-08-28 13:26:32.102478
226940538|NCT01131676|EG002|other|Total, other adverse events|1551|2342|2026-08-28 13:26:32.102478|2026-08-28 13:26:32.102478
226940679|NCT01131676|EG000|serious|Total, serious adverse events|988|2333|2026-08-28 13:26:32.151085|2026-08-28 13:26:32.151085
226940680|NCT01131676|EG001|serious|Total, serious adverse events|876|2345|2026-08-28 13:26:32.151085|2026-08-28 13:26:32.151085
226940681|NCT01131676|EG002|serious|Total, serious adverse events|913|2342|2026-08-28 13:26:32.151085|2026-08-28 13:26:32.151085
227504578|NCT00790205|EG000|deaths|Total, all-cause mortality|||2026-08-30 01:41:40.990484|2026-08-30 01:41:40.990484
227504579|NCT00790205|EG001|deaths|Total, all-cause mortality|||2026-08-30 01:41:40.990484|2026-08-30 01:41:40.990484
227504775|NCT00790205|EG000|other|Total, other adverse events|0|7266|2026-08-30 01:41:41.16348|2026-08-30 01:41:41.16348
227504776|NCT00790205|EG001|other|Total, other adverse events|0|7274|2026-08-30 01:41:41.16348|2026-08-30 01:41:41.16348
227504972|NCT00790205|EG000|serious|Total, serious adverse events|928|7266|2026-08-30 01:41:41.279637|2026-08-30 01:41:41.279637
227504973|NCT00790205|EG001|serious|Total, serious adverse events|909|7274|2026-08-30 01:41:41.279637|2026-08-30 01:41:41.279637
227143343|NCT01730534|EG000|deaths|Total, all-cause mortality|529|8582|2026-08-29 02:12:38.540191|2026-08-29 02:12:38.540191
227143344|NCT01730534|EG001|deaths|Total, all-cause mortality|570|8578|2026-08-29 02:12:38.540191|2026-08-29 02:12:38.540191
227143475|NCT01730534|EG000|other|Total, other adverse events|268|8574|2026-08-29 02:12:38.588896|2026-08-29 02:12:38.588896
227143476|NCT01730534|EG001|other|Total, other adverse events|342|8569|2026-08-29 02:12:38.588896|2026-08-29 02:12:38.588896
227143607|NCT01730534|EG000|serious|Total, serious adverse events|3205|8574|2026-08-29 02:12:38.625705|2026-08-29 02:12:38.625705
227143608|NCT01730534|EG001|serious|Total, serious adverse events|3418|8569|2026-08-29 02:12:38.625705|2026-08-29 02:12:38.625705
227217457|NCT01107886|EG000|deaths|Total, all-cause mortality|||2026-08-29 07:47:55.321306|2026-08-29 07:47:55.321306
227217458|NCT01107886|EG001|deaths|Total, all-cause mortality|||2026-08-29 07:47:55.321306|2026-08-29 07:47:55.321306
227217654|NCT01107886|EG000|other|Total, other adverse events|3641|8212|2026-08-29 07:47:55.376981|2026-08-29 07:47:55.376981
227217655|NCT01107886|EG001|other|Total, other adverse events|3504|8280|2026-08-29 07:47:55.376981|2026-08-29 07:47:55.376981
227217851|NCT01107886|EG000|serious|Total, serious adverse events|2075|8212|2026-08-29 07:47:55.429425|2026-08-29 07:47:55.429425
227217852|NCT01107886|EG001|serious|Total, serious adverse events|2114|8280|2026-08-29 07:47:55.429425|2026-08-29 07:47:55.429425
227220853|NCT01897532|EG000|deaths|Total, all-cause mortality|253|3485|2026-08-29 08:03:16.550964|2026-08-29 08:03:16.550964
227220854|NCT01897532|EG001|deaths|Total, all-cause mortality|250|3494|2026-08-29 08:03:16.550964|2026-08-29 08:03:16.550964
227221068|NCT01897532|EG000|other|Total, other adverse events|1422|3485|2026-08-29 08:03:16.644197|2026-08-29 08:03:16.644197
